Type,Explanation,,,,,,,,,,,,,,,,,,,,,,,
2,"""I determined what the probability was that the gremlin would tell the truth. The more honest gremlins in the lineup, the less likely I was to buy protection. However, I'm risk-averse, so I was more likely to buy protection than not because the risk was too high and the cost of protection was low.""",,,,,,,,,,,,,,,,,,,,,,,
6,"""I just used probability in my head""",,,,,,,,,,,,,,,,,,,,,,,
2,"""I took into consideration how many honest there were and looked at the chances of picking a ball """,,,,,,,,,,,,,,,,,,,,,,,
6,"""I was able to calculate the odds from the hints. It was not a measurement requiring me to calculate the chance of balls, but of variance between the hints. This made it easier to calculate the probability of what the chances the gremlins would give regardless of the actual odds (14/6 white-black balls)""",,,,,,,,,,,,,,,,,,,,,,,
1,"""I just took into note the goblins that were listed, and then the probability of which the information could be truthful or not.""",,,,,,,,,,,,,,,,,,,,,,,
2,"""I just relied on the number of honest gremlins to inform my decisions""",,,,,,,,,,,,,,,,,,,,,,,
5,"""If there were a white swamped gremlin, I would buy the protection if it said white ball. If it said black on a white swamped I would always not buy the protection. This is vice versa if there was a black swamped gremlin.""",,,,,,,,,,,,,,,,,,,,,,,
2,"""I used the strategy of using the ""honest gremlin"" to my advantage to know when I could get away with not paying for protection""",,,,,,,,,,,,,,,,,,,,,,,
5,"""I relied on understanding which type of gremlin was presented and then based my decision on their bias/lack of bias. Honest gremlin were a simple binary decision (white -> no protection, black -> protection). The white gremlin would default to no protection unless the probability of black was greater than 25%. The black gremlin defaulted to protection.""",,,,,,,,,,,,,,,,,,,,,,,
1,"""I considered the probability of the computer selecting a white ball and a honest gremlin. If that probability was high (>70%), then I decided not to buy protection. When there were only honest and black gremlins and the hint was that the ball was white, then it was easier since that hint could only come from an honest gremlin.""",,,,,,,,,,,,,,,,,,,,,,,
1,"""I took into consideration which of the gremlins I got. If it were two honest ones, I would not buy protection if they said white because they were right. If they were two honest ones and a black one, and they said it was white, I would do the same thing because the black one would never say the ball is white. If any of the gremlins said the ball was black, I would buy protection because there would always be a chance that the ball was black.""",,,,,,,,,,,,,,,,,,,,,,,
6,"""It was really just similar to math and common sense.""",,,,,,,,,,,,,,,,,,,,,,,
6,"""I went with the odds. I didn't buy protection if the probability of picking a ball was really high in a situation""",,,,,,,,,,,,,,,,,,,,,,,
2,"""I would look at how many honest gremlins there were to see if i could trust it or not. ex: if there were only honest and white gremlins, and they said the ball was white, i would trust that. """,,,,,,,,,,,,,,,,,,,,,,,
2,"""If it was all honest then I 100% percent trusted it and went for no protection but if there was even a chance of dishonest gremlin then I went with protection""",,,,,,,,,,,,,,,,,,,,,,,
6,"""My strategy depended on the gremlins. I was willing to pay a higher price for more honest gremlins, while I was not willing to pay as much when there were not as many honest gremlins.""",,,,,,,,,,,,,,,,,,,,,,,
3,"""The higher the % of black balls the more likely I was to buy protection.""",,,,,,,,,,,,,,,,,,,,,,,
1,"""I based it off of the amount of different colored balls mainly. Because, if there was only 2 black balls and one black gremlin, then I would most likely have a white ball chose if the other two were honest. """,,,,,,,,,,,,,,,,,,,,,,,
6,"""I looked at the percentage and the chance of drawing which ball, and I compared it to the grimlin options/hints and made my decision based off of the numbers I was provided.""",,,,,,,,,,,,,,,,,,,,,,,
6,"""I am broke and I was willing to take risks to make more money.""",,,,,,,,,,,,,,,,,,,,,,,
6,"""I just hoped for the best and picked one""",,,,,,,,,,,,,,,,,,,,,,,
2,"""If it was all honest gremlins I did not buy protection. Even if there was one un honest gremlin I was skeptical to buy protection. If there was more than one un honest gremlin I definitely bought protection.""",,,,,,,,,,,,,,,,,,,,,,,
3,"""If there were more black balls I would decide to protect it because there was a higher chance it needed to be and if there were more white balls I didn't protect it because I assumed the chance of a black ball being chosen was lower.""",,,,,,,,,,,,,,,,,,,,,,,
2,"""My strategy in task two was primarily based on the gremlins. For example, if they were all honest then I would not buy protection if they said white but would if they said black. Furthermore, if four were honest and one was a white-choosing gremlin, then if the gremlins said the ball was black I would buy protection; Considering that the white gremlin could only say the ball would be white, then it is known that an honest gremlin said that the ball would be black and vise versa.",I did not really consider the probability,of,the,balls,being,chosen,and,rather,focused,on,the,likely,hood,that,the,hint,given,by,the,gremlins,is,correct.,""""
3,"""I would first take into account how many white and how many black balls were in a box, and the chance of drawing each. With the gremlins then telling a hint I would not buy protection if the gremlin said white and the percent of drawing white was more than 75%. I used this kind of method for the whole task.""",,,,,,,,,,,,,,,,,,,,,,,
2,"""my strategy for this task was to only buy protection if there was a white or black gremlin and not if there was a truth gremlin """,,,,,,,,,,,,,,,,,,,,,,,
1,"""the percentages of black and white balls and which gremlins I would get to give a hint. """,,,,,,,,,,,,,,,,,,,,,,,
2,"""I took my chances that the gremlins telling the truth would be selected""",,,,,,,,,,,,,,,,,,,,,,,
2,"""If the goblins were all honest I would buy protection if they say the black was the ball chosen and not if the ball was white. If 1 of the goblins was saying the ball was black or white exclusively I would buy protection if they say it was black and not if the ball was white. If 2 of the goblins was saying the ball was black or white exclusively I would buy protection no matter what they said""",,,,,,,,,,,,,,,,,,,,,,,
6,"""How likely it was that it would be white """,,,,,,,,,,,,,,,,,,,,,,,
6,"""I mainly looked at the probability percentage of the computer choosing a white ball. If it was greater than or equal to 70%, then I would not choose protection.""",,,,,,,,,,,,,,,,,,,,,,,
2,"""It was pretty simple, actually. I basically based my decision off of the amount of honest gremlins there were. If there were 4/5 honest, then there was an 80% chance the hint was correct. On a situation with 50% white and 50% black, this strategy proved to be helpful.""",,,,,,,,,,,,,,,,,,,,,,,
2,"""I based my decision off of the makeup of the gremlins if they were all honest and said the ball was white I would not buy protection and if they said it was black I would buy protection. If there was a 1/3 chance of an honest gremlin being picked for the hint I would just buy protection because I did not like the odds of the hint being true. If the chance of an honest gremlin being picked was 2/3 I would look at the probability of a white/black ball being chosen and then make my","decision to protect or not off of that.""",,,,,,,,,,,,,,,,,,,,,,
2,"""I based my chances solely on the honest Gremlins.""",,,,,,,,,,,,,,,,,,,,,,,
6,"""I mostly would buy protection if there was an over 50 percent chance to get a black ball. """,,,,,,,,,,,,,,,,,,,,,,,
1,"""I thought of how many un honest gremlins there were and tried to guess the percent of accuracy I would be given based on the colors. """,,,,,,,,,,,,,,,,,,,,,,,
2,"""If it was mostly Honest Grimlins I took the hint""",,,,,,,,,,,,,,,,,,,,,,,
2,"""I looked at the different types of gremlins in each group to make my decision. If it was all of the honest gremlins, I would go from there, but even if it were 2 honest and 1 black or white swamp gremlin that would inform my decision better than if it was an equal mix of all three types""",,,,,,,,,,,,,,,,,,,,,,,
2,"""I looked at the % of white vs black balls then looked at how many honest grimlins there were. If there were a majority of white balls and honest grimlins I would do no protection for a white ball but buy protection for black.""",,,,,,,,,,,,,,,,,,,,,,,
2,"""Always went with the honest ones. When there was one white or one black, I would know it was an honest one when they said the opposite of the color. For example, two honest and one white, when it said the ball was black, I knew it would be black because the white can't say that.""",,,,,,,,,,,,,,,,,,,,,,,
6,"""-99""",,,,,,,,,,,,,,,,,,,,,,,
6,"""I compared the number of balls to the gremlins hints and if the chances were higher than 50% ish I wouldn't get protection""",,,,,,,,,,,,,,,,,,,,,,,
2,"""I would always take the hints from honest and be skeptical of non-honest""",,,,,,,,,,,,,,,,,,,,,,,
2,"""I looked at the gremlins and then looked at their hint. depending on what gremlins I had, i looked at the combination of balls to see if I should risk it or not. If I had a lot of white balls and quite a few honest gremlins, I did not buy the protection plan""",,,,,,,,,,,,,,,,,,,,,,,
6,"""I decided weather or not to buy protection based on the gremlins""",,,,,,,,,,,,,,,,,,,,,,,
3,"""I am basically gambling so I would not pay attention to the Gremlins and look at the percentages """,,,,,,,,,,,,,,,,,,,,,,,
5,"""Sorry. My strategy was same through-out, except the very first question of task1. Risk-averse, not worried about losing $5. Also, not trusting even honest gremlins or perhaps myself if I had mis-read.""",,,,,,,,,,,,,,,,,,,,,,,
4,"""Just went with my gut guess. I didn't really use a strategy for any of them tbh""",,,,,,,,,,,,,,,,,,,,,,,
1,"""there was no need to protect if the hint were made by all honest gremlins. also no need to protect if i had a combination of honest and black gremlin and the prediciton said it's white cos a black gremlin will never give a white answer""",,,,,,,,,,,,,,,,,,,,,,,
5,"""I had two honest gremlins, so the hint was 100% accurate.""",,,,,,,,,,,,,,,,,,,,,,,
2,"""I measured my decision based off of the type of gremlin giving the hint. If I felt that the gremlin or group was highly trustworthy, I would follow the advice. """,,,,,,,,,,,,,,,,,,,,,,,
6,"""If it was highly likely that the gremlin was going to be correct, I chose no protection. I aimed for the highest payout each round based on the amount of black to white balls there were.""",,,,,,,,,,,,,,,,,,,,,,,
2,"""If there were all honest ones I would not buy protection if it was white. I bought protection on all the others so that I would not lose more money.""",,,,,,,,,,,,,,,,,,,,,,,
6,"""I just created a pattern in my head and looked at the percentage of the likeliness of a black ball being drawn or not.""",,,,,,,,,,,,,,,,,,,,,,,
2,"""I based it off the amount of honest gremlins presented  """,,,,,,,,,,,,,,,,,,,,,,,
1,"""If the color said was the opposite of black or white eyed gremlin then I knew it was true because the rest were honest gremlins""",,,,,,,,,,,,,,,,,,,,,,,
3,"""Based off how many white ball there was""",,,,,,,,,,,,,,,,,,,,,,,
6,"""I decided what to do based on both probability of selecting a ball of off composition of colors, and the used the gremlins to add an extra level of certainty. """,,,,,,,,,,,,,,,,,,,,,,,
6,"""Simply used the projection of likelihood for how much risk I was willing to take.""",,,,,,,,,,,,,,,,,,,,,,,
4,"""If i was feeling lucky or not""",,,,,,,,,,,,,,,,,,,,,,,
6,"""Based off of the number of gremlins would help me determine to use protection or not""",,,,,,,,,,,,,,,,,,,,,,,
2,"""I used the gremlins as my strategy, i took more risks if it was the honest gremlins """,,,,,,,,,,,,,,,,,,,,,,,
2,"""I payed attention to the honest gremlins and I used my answers based off how many there were.""",,,,,,,,,,,,,,,,,,,,,,,
2,"""I would observe which of the gremlins informing me were honest and make my decision there.""",,,,,,,,,,,,,,,,,,,,,,,
5,"""I just tried not to risk it. I prefer getting a little bit less than the total amount than actually reducing $20""",,,,,,,,,,,,,,,,,,,,,,,
6,"""I figured out what the gremlins were saying and used that to calculate the probability """,,,,,,,,,,,,,,,,,,,,,,,
4,"""I just guessed.""",,,,,,,,,,,,,,,,,,,,,,,
6,"""I thought about which option would make me the most amount of money based on protection or not. """,,,,,,,,,,,,,,,,,,,,,,,
5,"""I just decided which ones wanted protection and not.""",,,,,,,,,,,,,,,,,,,,,,,
6,"""Basically if the white balls had a higher rate than the black balls I wouldn't buy protection""",,,,,,,,,,,,,,,,,,,,,,,
2,"""I looked mostly to whether or not I had an honest gremlin in my group. If I had gremlins which could be dishonest, I then evaluated my chances based on the percentage of black vs. white balls in the box. """,,,,,,,,,,,,,,,,,,,,,,,
6,"""If I knew the ball would be white then I would not protect, everything else I protected""",,,,,,,,,,,,,,,,,,,,,,,
3,"""I was a little more clueless about it, I tried to make sense of the question first and then see the number of balls that were black and if they were less, then I would not buy protection.""",,,,,,,,,,,,,,,,,,,,,,,
1,"""If the goblins were guaranteed to be honest, I followed their hint.  If there was a white goblin at all, I ignored the hint completely.  If there was only a black goblin, I wouldn't buy protection if the hint was white since that couldn't be correct.""",,,,,,,,,,,,,,,,,,,,,,,
